Code commune,Nom Commune,KML
97411,SAINT-DENIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.461141590278814,-21.015116925225175 55.45056601969565,-21.000486559916254 55.438700200768523,-20.991733412785262 55.404164580219614,-20.980383884644141 55.406061472969441,-20.95568718227225 55.392549115222394,-20.938713707552861 55.387452576957401,-20.921692533074083 55.377760565269504,-20.906596864323365 55.375864519034721,-20.896091501826078 55.396717992173244,-20.88123021834604 55.42205822424414,-20.874401967998544 55.440664409179035,-20.876379258713015 55.450515774487926,-20.871726309917403 55.468864728668443,-20.883932992164347 55.487511768035361,-20.885878539392159 55.502080506390037,-20.882339219193334 55.506638320020606,-20.910337627067406 55.512519254694837,-20.923279679031072 55.502598642642674,-20.933753011010403 55.491293013796074,-20.963300908367881 55.491374007538276,-20.987809047718368 55.481777344070863,-20.993243098281816 55.468890826069369,-21.009929513439157 55.461141590278814,-21.015116925225175</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97412,SAINT-JOSEPH,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.700503836913029,-21.376556146026029 55.68161348384988,-21.375116997853052 55.673227551352404,-21.382087962397289 55.658293713558038,-21.383550035210394 55.647951514774,-21.388064985309164 55.634169915881884,-21.382732050396164 55.608173168976116,-21.386240078813554 55.586859906128431,-21.371979088151782 55.58310282376484,-21.372561667187998 55.582898790381165,-21.365703737300191 55.588133318414172,-21.360869901771917 55.589423708274126,-21.354006451639084 55.589721295624436,-21.34003450887101 55.58528974165926,-21.330602672329984 55.587344874969219,-21.320367198660183 55.589635073455497,-21.313746961006721 55.604470090386876,-21.29855920310337 55.604298029869604,-21.288196525284391 55.601882344029157,-21.272521676920821 55.600642907389521,-21.251725601532353 55.605055815202412,-21.23129248233457 55.616159995275652,-21.209071289942166 55.630254414456161,-21.197496843162607 55.6370600818775,-21.194850859243576 55.649657452305398,-21.202486011447164 55.654116323701778,-21.212187525423722 55.654101159007489,-21.222359198620467 55.6475829625766,-21.234574634916282 55.64969654957271,-21.237364860871942 55.678769892440151,-21.240214839205795 55.682627645773536,-21.264744157039097 55.69233415404134,-21.275443294157686 55.687582602779884,-21.306942569415323 55.698753839910239,-21.333362235091244 55.698069393059306,-21.347548655261743 55.70491544154131,-21.364033624446041 55.70547959846305,-21.371165447219258 55.700503836913029,-21.376556146026029</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97413,SAINT-LEU,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.32083724751346,-21.248863745413598 55.293782893449823,-21.229569834281246 55.281775240276694,-21.203308206336594 55.28705304927265,-21.182460754311311 55.286605874647165,-21.161085422056154 55.270930140135405,-21.146121770782447 55.271391253468231,-21.135423044232915 55.282520623202174,-21.133747870523358 55.316785242144853,-21.120046240881809 55.349782182354531,-21.114246667845819 55.415931878914826,-21.122718533210147 55.404290190544209,-21.138245224287655 55.405532401365882,-21.144525754850669 55.38864973806718,-21.158240301993583 55.382927002937031,-21.167372052254525 55.338830281468184,-21.210617389365787 55.333247176427967,-21.227435214644018 55.32083724751346,-21.248863745413598</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97414,SAINT-LOUIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.403919253997699,-21.303505996763175 55.39118916316221,-21.292626813288042 55.381522536522844,-21.282029142393974 55.392395046639059,-21.256155186264689 55.387888015185482,-21.232012804781757 55.390619722192007,-21.211100938922588 55.382654775478251,-21.199480966854608 55.385961778626751,-21.185882138486381 55.389949958731336,-21.173346518751771 55.399563417107331,-21.163275837830355 55.405379688231974,-21.147098689170363 55.414700890276457,-21.166028899094528 55.432085218793667,-21.184085220908536 55.440880800108211,-21.190290936421519 55.462318490892436,-21.195166490948253 55.459769285867061,-21.2375531682587 55.463692709631296,-21.258726107298241 55.455515913878571,-21.286021128960659 55.419916682666027,-21.29477777355703 55.403919253997699,-21.303505996763175</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97415,SAINT-PAUL,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.422727148964327,-21.11648595717979 55.398575498371684,-21.09927756898767 55.319493989944228,-21.092360998438824 55.300724296564127,-21.095019241484781 55.254150857683875,-21.109738677710233 55.23385791399145,-21.093640539051187 55.222314994603778,-21.079339203465665 55.220588218995104,-21.072411382004145 55.223560263278976,-21.054712034850954 55.217548808234568,-21.041588300445738 55.217668541770095,-21.037994685120694 55.219447821272425,-21.034806851826868 55.235140805778265,-21.019154762289268 55.246538899082651,-21.019272658716137 55.257326345004671,-21.015653110793085 55.27745497015421,-20.999364637368501 55.282755830892157,-20.974885592313036 55.27750904556482,-20.957733864362677 55.287948586092419,-20.956348631826714 55.305399902521529,-20.95906118077853 55.319076183295671,-20.969204895207426 55.356039340643569,-20.976647283115977 55.370241487660898,-20.988445253728152 55.37615484154518,-20.997516621389014 55.387011408276848,-21.000501358425357 55.398892978677488,-21.009339424205123 55.40277927155735,-21.019285159904868 55.400196036471719,-21.029666885451771 55.403675702328357,-21.050728383213503 55.415607638111403,-21.064353467502972 55.414303580630353,-21.071170236494492 55.405739547726057,-21.082796728957927 55.415947622221815,-21.093117673134198 55.422783501798264,-21.095665455486571 55.43719529778388,-21.091743044392796 55.449649936868575,-21.08435988300289 55.464361581168127,-21.085749286612575 55.451784214355747,-21.102237789181117 55.422727148964327,-21.11648595717979</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97416,SAINT-PIERRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.536144966071909,-21.363053281495411 55.500885319370788,-21.3511708658814 55.485789185416046,-21.350818646092147 55.477384839807186,-21.343931842872379 55.462682678127564,-21.341946204090867 55.459354937938734,-21.340235607137945 55.449817688513797,-21.329407831129853 55.427542823688249,-21.325352954027107 55.417620420016249,-21.320192473152744 55.403919253997699,-21.303505996763175 55.419916682666027,-21.29477777355703 55.455515913878571,-21.286021128960659 55.465716817469861,-21.276340752921531 55.470795227187295,-21.267055879906739 55.470481550711398,-21.260106671651986 55.479702243164795,-21.254589637314847 55.502837280766265,-21.282302422494173 55.51468090106372,-21.291061013873517 55.513204145464151,-21.297976348754631 55.533637761243881,-21.313593258264039 55.54827484941034,-21.310278600765695 55.570945621783906,-21.297528098304696 55.580123444418568,-21.286332248179612 55.601882344029157,-21.272521676920821 55.604298029869604,-21.288196525284391 55.593792215839272,-21.291225596318174 55.578345399505096,-21.310860635112547 55.547266683686438,-21.322609193028565 55.536144966071909,-21.363053281495411</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97417,SAINT-PHILIPPE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.700503836913029,-21.376556146026029 55.70547959846305,-21.371165447219258 55.70491544154131,-21.364033624446041 55.698069393059306,-21.347548655261743 55.698753839910239,-21.333362235091244 55.687582602779884,-21.306942569415323 55.69233415404134,-21.275443294157686 55.682627645773536,-21.264744157039097 55.678769892440151,-21.240214839205795 55.804274365271397,-21.252299159533425 55.802234078398605,-21.262691739664053 55.807445190419848,-21.286948593161824 55.804353233882992,-21.311706573538046 55.808493042665809,-21.332712566522972 55.807029666172525,-21.336017606186427 55.798639947829962,-21.347981847116962 55.780910202540937,-21.361540253420532 55.774179703784739,-21.364915031896111 55.770395425580446,-21.365375176838327 55.755294025473368,-21.364107571459694 55.748667956202453,-21.367599508546839 55.700503836913029,-21.376556146026029</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97418,SAINTE-MARIE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.468890826069369,-21.009929513439157 55.481777344070863,-20.993243098281816 55.491374007538276,-20.987809047718368 55.491293013796074,-20.963300908367881 55.502598642642674,-20.933753011010403 55.512519254694837,-20.923279679031072 55.506638320020606,-20.910337627067406 55.502080506390037,-20.882339219193334 55.541932267002529,-20.894264714857687 55.560525473006457,-20.892055510439842 55.575390343009445,-20.894745606084623 55.576911203313813,-20.901669029236501 55.572368026552631,-20.911405532589978 55.572190348463735,-20.922045666178732 55.577298798957308,-20.93903540704634 55.568154877541929,-20.950079269597595 55.540692961578138,-21.004273209603671 55.519065636346092,-21.008359179826851 55.507612195160334,-21.000210397474632 55.468890826069369,-21.009929513439157</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97419,SAINTE-ROSE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.804274365271397,-21.252299159533425 55.678769892440151,-21.240214839205795 55.64969654957271,-21.237364860871942 55.6475829625766,-21.234574634916282 55.654101159007489,-21.222359198620467 55.654116323701778,-21.212187525423722 55.660719740620856,-21.203161273419646 55.679035373663964,-21.185482109859226 55.693978914598382,-21.18609509715376 55.705281850289026,-21.176732770404438 55.715663660795315,-21.172385404221785 55.729747674265006,-21.167514155003005 55.734971900160701,-21.162485329458335 55.744134983655869,-21.147132790803823 55.742882022296364,-21.130139793320069 55.753268966461611,-21.115446102083339 55.767288209124835,-21.10363284569198 55.782363655696351,-21.123743072663171 55.796960545293722,-21.126087793513538 55.811214825914561,-21.137652643156464 55.824744658750276,-21.143673447832963 55.833384678678087,-21.159380256873174 55.835049782612892,-21.180423063599367 55.834309709967073,-21.183905110712704 55.825325647028066,-21.189633733201894 55.82399069058507,-21.203735594276097 55.814483604722369,-21.214437646618322 55.808224537352089,-21.234430898464073 55.804274365271397,-21.252299159533425</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97420,SAINTE-SUZANNE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.574204046691001,-20.993644719747458 55.555352850860224,-21.005364865401731 55.540692961578138,-21.004273209603671 55.568154877541929,-20.950079269597595 55.577298798957308,-20.93903540704634 55.572190348463735,-20.922045666178732 55.572368026552631,-20.911405532589978 55.576911203313813,-20.901669029236501 55.575390343009445,-20.894745606084623 55.582016237398321,-20.897546944656497 55.592699241480062,-20.896225991524652 55.621395206467106,-20.910895866941786 55.628666622087302,-20.910556912173394 55.630464676739606,-20.924293679845942 55.64250361689227,-20.932737084032659 55.645011812683514,-20.939315570872953 55.643089743036867,-20.942389859789813 55.633069287788466,-20.953014892264502 55.62210803399568,-20.954896033187925 55.596418293169606,-20.969628180006804 55.574204046691001,-20.993644719747458</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97421,SALAZIE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.495345277392332,-21.111446395142835 55.476622558384129,-21.092472108266268 55.464361581168127,-21.085749286612575 55.446424168511896,-21.068757331062805 55.446364341702662,-21.065251941738349 55.453508570376599,-21.057458346551634 55.454194264224867,-21.032984769224477 55.461670280776055,-21.025473745103557 55.461141590278814,-21.015116925225175 55.468890826069369,-21.009929513439157 55.507612195160334,-21.000210397474632 55.519065636346092,-21.008359179826851 55.540692961578138,-21.004273209603671 55.555352850860224,-21.005364865401731 55.574204046691001,-20.993644719747458 55.584981965491451,-21.001358984581604 55.581232896009318,-21.007181530489657 55.560428911918081,-21.021749483386941 55.555527279841954,-21.035194897412637 55.561256611456479,-21.047772917557118 55.561389295114061,-21.062001745444473 55.552217008596017,-21.073034902401631 55.532707640922652,-21.081945898108309 55.522221417048385,-21.083399592452722 55.516625777265411,-21.092483425665975 55.503836709425684,-21.099850622663329 55.495345277392332,-21.111446395142835</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97422,LE TAMPON,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.601882344029157,-21.272521676920821 55.580123444418568,-21.286332248179612 55.570945621783906,-21.297528098304696 55.54827484941034,-21.310278600765695 55.533637761243881,-21.313593258264039 55.513204145464151,-21.297976348754631 55.51468090106372,-21.291061013873517 55.502837280766265,-21.282302422494173 55.479702243164795,-21.254589637314847 55.488585094145272,-21.248120561166484 55.491817160462098,-21.239188703161926 55.498664515759543,-21.236639230871575 55.509732793542959,-21.227261628057143 55.511488613459072,-21.224142625445005 55.509512125868945,-21.207025432617009 55.513990266482892,-21.201364967384585 55.516719151435183,-21.18756817293032 55.530095934213193,-21.182861303802763 55.531166033082712,-21.175933071291269 55.522589230816763,-21.145416315744242 55.526949856807278,-21.135806783100968 55.545009456966454,-21.135149927068301 55.555320224662978,-21.138255351327068 55.57269504328,-21.133732435573666 55.581320579935017,-21.139956688040606 55.592364210133539,-21.172614462889875 55.608655202925519,-21.181340131974608 55.619964800627486,-21.182146489519109 55.635784576198162,-21.167992853455448 55.660719740620856,-21.203161273419646 55.654116323701778,-21.212187525423722 55.649657452305398,-21.202486011447164 55.6370600818775,-21.194850859243576 55.630254414456161,-21.197496843162607 55.616159995275652,-21.209071289942166 55.605055815202412,-21.23129248233457 55.600642907389521,-21.251725601532353 55.601882344029157,-21.272521676920821</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97423,LES TROIS-BASSINS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.271391253468231,-21.135423044232915 55.255624389679632,-21.116257183144885 55.254150857683875,-21.109738677710233 55.300724296564127,-21.095019241484781 55.319493989944228,-21.092360998438824 55.398575498371684,-21.09927756898767 55.422727148964327,-21.11648595717979 55.415931878914826,-21.122718533210147 55.349782182354531,-21.114246667845819 55.316785242144853,-21.120046240881809 55.282520623202174,-21.133747870523358 55.271391253468231,-21.135423044232915</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97424,CILAOS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>55.462318490892436,-21.195166490948253 55.440880800108211,-21.190290936421519 55.432085218793667,-21.184085220908536 55.414700890276457,-21.166028899094528 55.405379688231974,-21.147098689170363 55.405532401365882,-21.144525754850669 55.404290190544209,-21.138245224287655 55.415931878914826,-21.122718533210147 55.422727148964327,-21.11648595717979 55.451784214355747,-21.102237789181117 55.464361581168127,-21.085749286612575 55.476622558384129,-21.092472108266268 55.495345277392332,-21.111446395142835 55.504118881491806,-21.122598796808976 55.506748685459094,-21.139748987412297 55.494007049354302,-21.179083916743103 55.485368871947124,-21.185618974421093 55.462318490892436,-21.195166490948253</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
