Code commune,Nom Commune,KML
97111,DESHAIES,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.806057100368271,16.268001668741281 -61.808737490978942,16.27041197680995 -61.803489268132054,16.279457038570381 -61.802203204531232,16.297074821846742 -61.79709289980071,16.306346384852553 -61.799861299200558,16.312806556752726 -61.798586935965808,16.316116426442679 -61.789611182980792,16.32218418592829 -61.786177211919259,16.335658819754013 -61.777133104848687,16.346488789496618 -61.764954867261089,16.35386538364525 -61.765211283663881,16.336892882669915 -61.759274355885474,16.32836200890306 -61.758732488771699,16.317811079337815 -61.764517203014712,16.290865467252583 -61.757893608437847,16.283098858723658 -61.756471281671764,16.272687338215196 -61.774023043879936,16.273151266366721 -61.806057100368271,16.268001668741281</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97112,GRAND-BOURG,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.259436453184385,15.871203130902117 -61.269170310383046,15.867359152084676 -61.280027623634965,15.867517998805377 -61.304003553227247,15.875461054432352 -61.324658153098426,15.888951859543383 -61.330242068647863,15.89803227698447 -61.337111161689556,15.939376326913695 -61.335804412319241,15.942664821646112 -61.323118383649522,15.949606434355179 -61.319487697680287,15.949261845819681 -61.310074874163099,15.938913040628682 -61.296581334694011,15.934125649646845 -61.28212473713603,15.933938668027427 -61.274386567204004,15.926846123668566 -61.264068963084647,15.92437759464516 -61.252102890119694,15.917096662661034 -61.25579503268677,15.900480551249347 -61.249837410229006,15.892904640368574 -61.257062654946807,15.881233096376876 -61.259436453184385,15.871203130902117</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97113,LE GOSIER,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.419328709596577,16.209942498339071 -61.437252405643015,16.20842130963138 -61.449552190665514,16.201227290356403 -61.467362312016618,16.198563922483903 -61.502763098204767,16.20606446431071 -61.509824547059125,16.21358824519934 -61.523799443620497,16.214815573705156 -61.527293871862142,16.219123706725806 -61.52548506021067,16.223358860024497 -61.518729462196553,16.226095411901561 -61.50944393281133,16.236821302565303 -61.45515163008411,16.257968892866895 -61.433524753654517,16.240991577499106 -61.419328709596577,16.209942498339071</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97114,GOYAVE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.569185333977153,16.110811108791015 -61.579214340268649,16.107253852743973 -61.589591676411295,16.098013499727589 -61.603453927078149,16.094272412662036 -61.62230288531368,16.08446185582503 -61.642250291725802,16.091584977781768 -61.663489067301526,16.094565863133809 -61.669465798991759,16.102556814421863 -61.653433558468052,16.130031879488083 -61.640274529884721,16.135958766482812 -61.631027426252338,16.146745320398946 -61.604875940638927,16.15959045736291 -61.583034635084275,16.161651512258455 -61.580771051151949,16.155165287870933 -61.575028993652282,16.15129488302858 -61.575642457125937,16.141357282280214 -61.561781256979586,16.131485240368882 -61.569702319774066,16.120855696713264 -61.569185333977153,16.110811108791015</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97115,LAMENTIN,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.72655039670132,16.189130928941225 -61.731989311056992,16.201591185455619 -61.730902344344727,16.215042801591544 -61.725271864194866,16.219248048822724 -61.723064907084733,16.229285391228515 -61.709005089994648,16.226235750961525 -61.685832646564606,16.236089751160613 -61.672370481847402,16.252762625039111 -61.673741850530106,16.263119881295548 -61.665863854430668,16.286605608165384 -61.655377401774224,16.295676670624967 -61.630126861942003,16.298677835687368 -61.619753574548369,16.295284386722841 -61.605830099545017,16.297741702311484 -61.61348368995241,16.285961410898732 -61.619710474404847,16.286734213568554 -61.624825865882755,16.281832809892972 -61.624281157109124,16.275403275018931 -61.630289033491295,16.259128667736409 -61.630350742146128,16.248870931738043 -61.640292510097055,16.234419848150967 -61.64007233584676,16.22425062437113 -61.6484283476088,16.212961203887748 -61.665659724663868,16.207294802411035 -61.669376531282253,16.201235431262173 -61.691145719843618,16.202229271655057 -61.705553843533963,16.191724668322248 -61.719967252193413,16.191775785291572 -61.72655039670132,16.189130928941225</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97116,MORNE-A-L'EAU,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.441491938059613,16.287646871639613 -61.447774138005684,16.286003092490148 -61.463685812667222,16.299819988692434 -61.498587609728936,16.305113773453325 -61.508108566854602,16.300915493831656 -61.53441279578206,16.312396617540749 -61.533952190744024,16.332773276775118 -61.52697625489543,16.340677765209961 -61.520821344609359,16.343888204195526 -61.510139109026781,16.342972495562172 -61.503652865272336,16.350319241344092 -61.493480870755427,16.353635824158005 -61.479191625170742,16.351897404781475 -61.450970340444229,16.356662370500558 -61.435620316928066,16.338899173771118 -61.429359170619499,16.342368121488104 -61.421083436724572,16.330937488488935 -61.406833756098408,16.33042368800162 -61.401802357417758,16.310368325266772 -61.418502807721886,16.303833599340194 -61.42833261777205,16.30800987015472 -61.441426519941707,16.291189022808986 -61.441491938059613,16.287646871639613</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97117,LE MOULE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.335959771564362,16.286029450953791 -61.337852166998523,16.289080745380186 -61.35965640115046,16.288735912636884 -61.361737610047371,16.291634860736085 -61.359689446221687,16.298261189443256 -61.365422833676433,16.300835982081644 -61.377669501809564,16.293149428572441 -61.423246236628771,16.279378073404526 -61.437433742608462,16.280206321865144 -61.438489286693361,16.286341421324909 -61.441491938059613,16.287646871639613 -61.441426519941707,16.291189022808986 -61.42833261777205,16.30800987015472 -61.418502807721886,16.303833599340194 -61.401802357417758,16.310368325266772 -61.406833756098408,16.33042368800162 -61.421083436724572,16.330937488488935 -61.429359170619499,16.342368121488104 -61.423477266453766,16.346372896969395 -61.423374777053134,16.353312712340767 -61.418652782122436,16.358518900168097 -61.419487389605763,16.368791412586994 -61.414054533914374,16.377335862492494 -61.415566646301336,16.390622841397381 -61.405264827307292,16.393382622623687 -61.405472847600855,16.386226802670617 -61.400311378519291,16.372848840639655 -61.375819411981574,16.341610034013858 -61.340483460739804,16.332153366546596 -61.333236947616115,16.33358732091553 -61.31137717555962,16.330033689800281 -61.277962639129001,16.31665137325734 -61.281429118423311,16.303314337922775 -61.305733045847596,16.305128222317119 -61.318375936520688,16.299526984415717 -61.322549455470558,16.290704015933194 -61.335959771564362,16.286029450953791</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97118,PETIT-BOURG,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.669465798991759,16.102556814421863 -61.672107058841753,16.108863872876977 -61.68074335191293,16.11491881116017 -61.701142578254967,16.11954497882984 -61.711437366171317,16.11804373911448 -61.71733206842854,16.133381213862684 -61.724183874360719,16.135202873016357 -61.725236765552623,16.148938480673255 -61.729598703433219,16.154152566847564 -61.730913597784664,16.167925871302938 -61.73642518197439,16.180693756627889 -61.72655039670132,16.189130928941225 -61.719967252193413,16.191775785291572 -61.705553843533963,16.191724668322248 -61.691145719843618,16.202229271655057 -61.669376531282253,16.201235431262173 -61.665659724663868,16.207294802411035 -61.6484283476088,16.212961203887748 -61.618192822212436,16.222726474750246 -61.597273991787915,16.234880812371763 -61.583169771991109,16.234416507625784 -61.587774290938654,16.221044030437415 -61.584412831257545,16.204464227431377 -61.589548081604399,16.195243558523902 -61.589872284476911,16.1917389961949 -61.588087365904002,16.184948709660436 -61.580743863035096,16.17731703078169 -61.580170200038744,16.173833610468904 -61.584838003092557,16.168432912095128 -61.583034635084275,16.161651512258455 -61.604875940638927,16.15959045736291 -61.631027426252338,16.146745320398946 -61.640274529884721,16.135958766482812 -61.653433558468052,16.130031879488083 -61.669465798991759,16.102556814421863</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97119,PETIT-CANAL,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.429359170619499,16.342368121488104 -61.435620316928066,16.338899173771118 -61.450970340444229,16.356662370500558 -61.479191625170742,16.351897404781475 -61.493480870755427,16.353635824158005 -61.498402288937903,16.357593219647438 -61.496080467507845,16.377187952718181 -61.507520998184887,16.389397712708121 -61.509503572641599,16.392150133024739 -61.492677016400187,16.410719580839611 -61.485532274495817,16.412014762826189 -61.467569138255769,16.407817680412709 -61.460596899071255,16.409800102463659 -61.452726858446248,16.425837659235963 -61.439245701703115,16.43137706475601 -61.438077136976958,16.438164345492599 -61.434530630769693,16.43901451291639 -61.431663721886515,16.436860321239436 -61.431193575328273,16.423102215859149 -61.424534756464709,16.420946687017576 -61.413285826432819,16.429456270712468 -61.412238811778138,16.439615097574876 -61.404038897567247,16.44610473607807 -61.398200549974213,16.422636162670685 -61.405264827307292,16.393382622623687 -61.415566646301336,16.390622841397381 -61.414054533914374,16.377335862492494 -61.419487389605763,16.368791412586994 -61.418652782122436,16.358518900168097 -61.423374777053134,16.353312712340767 -61.423477266453766,16.346372896969395 -61.429359170619499,16.342368121488104</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97120,POINTE-A-PITRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.527293871862142,16.219123706725806 -61.548839960323981,16.253118472545829 -61.532638637581215,16.245153140073889 -61.529645700320174,16.238751798027252 -61.530705879541152,16.228257351140762 -61.52548506021067,16.223358860024497 -61.527293871862142,16.219123706725806</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97121,POINTE-NOIRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.73642518197439,16.180693756627889 -61.749407446782456,16.185117956190105 -61.762754685862305,16.180604481563506 -61.769850159066692,16.181178901236706 -61.782306073632341,16.187695031871968 -61.786990818283186,16.197103797856961 -61.78291357624024,16.210647287272767 -61.785475762182088,16.224545094805151 -61.801103371709736,16.243922185242749 -61.806057100368271,16.268001668741281 -61.774023043879936,16.273151266366721 -61.756471281671764,16.272687338215196 -61.757265901429726,16.262397289267479 -61.754395579766708,16.256098752894321 -61.738576726039049,16.248259297431062 -61.723064907084733,16.229285391228515 -61.725271864194866,16.219248048822724 -61.730902344344727,16.215042801591544 -61.731989311056992,16.201591185455619 -61.72655039670132,16.189130928941225 -61.73642518197439,16.180693756627889</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97122,PORT-LOUIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.507520998184887,16.389397712708121 -61.510836595009835,16.38798425426334 -61.520737455982221,16.392274650139289 -61.52813466306764,16.399628900574999 -61.540054060333588,16.439694252569652 -61.535703148777273,16.452940063378637 -61.51763359046825,16.454683796191393 -61.486764659688902,16.439090610154011 -61.475949494925658,16.440187155582013 -61.466617237058813,16.445622847094274 -61.455883819637755,16.445806154216807 -61.45014669049641,16.450092658949441 -61.446554741597609,16.449569022651222 -61.441268631518568,16.440727543329256 -61.434530630769693,16.43901451291639 -61.438077136976958,16.438164345492599 -61.439245701703115,16.43137706475601 -61.452726858446248,16.425837659235963 -61.460596899071255,16.409800102463659 -61.467569138255769,16.407817680412709 -61.485532274495817,16.412014762826189 -61.492677016400187,16.410719580839611 -61.509503572641599,16.392150133024739 -61.507520998184887,16.389397712708121</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97124,SAINT-CLAUDE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.712497577804797,15.99679976351651 -61.730112310177674,16.011501769979471 -61.716089087643894,16.022607995538117 -61.709754990835407,16.042608203604246 -61.685519258528977,16.068301561769555 -61.683417817439107,16.082234765941017 -61.68061676185836,16.084549386860967 -61.675159485005032,16.075757550774266 -61.672845881237436,16.062366548284221 -61.664105325201767,16.056889234572083 -61.662883415237928,16.04390265363136 -61.659725391682777,16.042346424467819 -61.663262107876093,16.036168248142268 -61.661696560156372,16.025674075741954 -61.667596683288522,16.016762871270767 -61.680314367708057,16.009818630642741 -61.687510362243373,16.011182334596963 -61.712497577804797,15.99679976351651</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97125,SAINT-FRANCOIS,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.277962639129001,16.31665137325734 -61.258043165147519,16.301469116307882 -61.23935710050678,16.271086982223682 -61.206086540043771,16.255924596318795 -61.187922492250117,16.253601257478305 -61.175967003465118,16.245546700066086 -61.193187810925686,16.249643113181151 -61.251844464375466,16.255484852773051 -61.2936536930222,16.244394222034195 -61.318435479564222,16.240896184562093 -61.325045206286717,16.243560181166938 -61.324926583003915,16.253147417932361 -61.335959771564362,16.286029450953791 -61.322549455470558,16.290704015933194 -61.318375936520688,16.299526984415717 -61.305733045847596,16.305128222317119 -61.281429118423311,16.303314337922775 -61.277962639129001,16.31665137325734</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
