Code commune,Nom Commune,KML
97211,GRAND'RIVIERE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.166489466926095,14.817206858378535 -61.189163883347838,14.831945603852784 -61.191719718034442,14.845241677735979 -61.204041194122212,14.861912996116702 -61.179906727788293,14.874574044099196 -61.166467464278043,14.877105913586092 -61.16690017805827,14.852265860588803 -61.164019775888299,14.834674361219923 -61.166489466926095,14.817206858378535</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97212,GROS-MORNE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.994554438453889,14.673230379129333 -61.023771868041379,14.692367651056191 -61.041123037950321,14.695506006384129 -61.063909103275769,14.705674108319942 -61.078385534666459,14.716060600526321 -61.084773171341084,14.724617336460335 -61.079041337121076,14.727055023036909 -61.064961586296491,14.735821051313655 -61.055257587491717,14.737962757940474 -61.05278908894676,14.744059945012779 -61.029097532966283,14.735111666375513 -61.021880558261451,14.735348288700145 -60.998563405976988,14.727367242456229 -60.987314781281363,14.718748237654232 -60.976616255489134,14.704937592183921 -60.977095414022173,14.698272821696605 -60.980647570340622,14.692592686441404 -60.987156822086106,14.690399150600067 -60.989127975522507,14.68397315510637 -60.994554438453889,14.673230379129333</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97213,LE LAMENTIN,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.000629747457154,14.559908403385316 -61.010386032057326,14.563479791812501 -61.012370201337752,14.577087984068784 -61.022249533976193,14.586732773258193 -61.017699184260124,14.599562580497158 -61.020961687029327,14.609340982149124 -61.023792474767291,14.611380198459461 -61.036556564292177,14.605740587578776 -61.034857248516623,14.632990469432476 -61.039205707316356,14.641847108339997 -61.039379286122731,14.645291614669288 -61.015517874613415,14.651270447126338 -61.006872358927609,14.656853490065904 -60.997042913060106,14.657844377108832 -60.997303327002527,14.671058195165557 -60.994554438453889,14.673230379129333 -60.989127975522507,14.68397315510637 -60.98135987528336,14.677697609816635 -60.973025929742633,14.662353282256895 -60.96101741092091,14.655055208171058 -60.949419938820789,14.633582075302167 -60.945393682995466,14.610458529345506 -60.947221927604382,14.607447426421613 -60.957842055621349,14.609013616509213 -60.97146566250359,14.604885349404979 -60.977059767724512,14.595924454935858 -60.993524106452206,14.582321804668332 -61.00064025252825,14.570065775904736 -61.000629747457154,14.559908403385316</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97214,LE LORRAIN,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.086021624287206,14.746461089903997 -61.090187340502972,14.755415078582541 -61.087114953958412,14.761616162742937 -61.087965672316571,14.768409995932434 -61.097601544428755,14.772104404559913 -61.099218423235079,14.775208394308661 -61.10756331144762,14.793965648815337 -61.108056701660573,14.807760269050437 -61.100056753442942,14.814399897360909 -61.097849401535669,14.831018806852207 -61.084602434386959,14.853121664700142 -61.076932134043581,14.846379313158399 -61.066840144822287,14.843529360930621 -61.056665953935834,14.834316385853496 -61.049849835994173,14.832984499575529 -61.043807313874332,14.836547882897611 -61.039422039609633,14.831440927591887 -61.047486179328935,14.819969565523794 -61.062261664627144,14.754459649781621 -61.068268664374997,14.750407177499875 -61.086021624287206,14.746461089903997</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97215,MACOUBA,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.163805546072773,14.816010617012427 -61.166489466926095,14.817206858378535 -61.164019775888299,14.834674361219923 -61.16690017805827,14.852265860588803 -61.166467464278043,14.877105913586092 -61.148911053838248,14.87860063736643 -61.125483093340428,14.873503212875841 -61.144055746367449,14.840008734780726 -61.163805546072773,14.816010617012427</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97216,LE MARIGOT,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.079041337121076,14.727055023036909 -61.085350626826745,14.733984461849596 -61.087547778846151,14.742904096867539 -61.086021624287206,14.746461089903997 -61.068268664374997,14.750407177499875 -61.062261664627144,14.754459649781621 -61.047486179328935,14.819969565523794 -61.039422039609633,14.831440927591887 -61.030086184874321,14.828333868568519 -61.029921618047162,14.824961774037702 -61.021688788768991,14.819098642538355 -61.018711219336815,14.809439968501714 -61.045175732257817,14.786522912360086 -61.044400786832817,14.776602984952101 -61.052916176210552,14.757959691296001 -61.05278908894676,14.744059945012779 -61.055257587491717,14.737962757940474 -61.064961586296491,14.735821051313655 -61.079041337121076,14.727055023036909</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97217,LE MARIN,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.864466760148105,14.464612152277283 -60.868098539510065,14.469822789013424 -60.875318506060445,14.470258599654599 -60.899481711973003,14.449963235401876 -60.907174497624901,14.457296937368641 -60.900951397994611,14.460340982603629 -60.898489749264279,14.470647492213034 -60.887209189826201,14.488673091418667 -60.875754688710259,14.497497521683181 -60.864465921682594,14.515060671221386 -60.860845008039789,14.515425261845456 -60.847892851327153,14.503334076527651 -60.837112708579411,14.503623532829138 -60.823678020868122,14.498421185243878 -60.822941047539118,14.49506204331882 -60.816604290329018,14.492464141208988 -60.814740946191947,14.489546309156301 -60.81123769807698,14.47985440277515 -60.814670948875246,14.473967868309021 -60.821382383986787,14.474228933712327 -60.823495770542507,14.47147448534046 -60.844709799155112,14.472808387273195 -60.864466760148105,14.464612152277283</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97218,LE MORNE-ROUGE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.087547778846151,14.742904096867539 -61.102115363545245,14.733535162901369 -61.13000918019118,14.747788013585112 -61.133225685464417,14.746304790753578 -61.147614227536863,14.756840498317985 -61.157189046166543,14.760161454869484 -61.154902585081295,14.770283063943607 -61.145822654633371,14.78521217115347 -61.148480019468451,14.805901723880337 -61.143409834236621,14.8013423048662 -61.126495373392686,14.799117826615413 -61.108056701660573,14.807760269050437 -61.10756331144762,14.793965648815337 -61.099218423235079,14.775208394308661 -61.097601544428755,14.772104404559913 -61.087965672316571,14.768409995932434 -61.087114953958412,14.761616162742937 -61.090187340502972,14.755415078582541 -61.086021624287206,14.746461089903997 -61.087547778846151,14.742904096867539</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97219,LE PRECHEUR,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.214084339586115,14.78162061568405 -61.226868983739152,14.802876246487999 -61.228956061683967,14.82039812309961 -61.21953390292893,14.84336213051731 -61.210064971969935,14.858200444815585 -61.204041194122212,14.861912996116702 -61.191719718034442,14.845241677735979 -61.189163883347838,14.831945603852784 -61.166489466926095,14.817206858378535 -61.163805546072773,14.816010617012427 -61.163347190558802,14.815283976288747 -61.163789177375087,14.812440748128392 -61.169999772658009,14.812923977731529 -61.180853723210014,14.804677502306467 -61.206328628900813,14.79292061222373 -61.214084339586115,14.78162061568405</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97220,RIVIERE-PILOTE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.907174497624901,14.457296937368641 -60.911541083870972,14.462378004422359 -60.910486873397083,14.46900132606677 -60.915527007657538,14.496317784219501 -60.923825674860652,14.507524135483328 -60.924169068612741,14.514467118749929 -60.929586604558587,14.518400656999686 -60.923186758206761,14.52530207502747 -60.925220609707743,14.537971016367012 -60.91196956558025,14.535431528091069 -60.898463559324554,14.537334869632984 -60.891038821645779,14.547479038576752 -60.88086930193105,14.53407694710029 -60.868282896586649,14.528116406580427 -60.864465921682594,14.515060671221386 -60.875754688710259,14.497497521683181 -60.887209189826201,14.488673091418667 -60.898489749264279,14.470647492213034 -60.900951397994611,14.460340982603629 -60.907174497624901,14.457296937368641</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
